Aegis Guard	帝盾卫兵
Archangel	大天使
Armored Personnel Carrier	装甲运兵车
Assault Galleon	突击炮舰
Asteria Wraith	阿斯忒瑞亚怨灵战机
Banshee	女妖
Battlecruiser	战列巡航舰
Blackhammer	黑色战锤
Bulwark Company	布瓦克连队
Cerberus Mine	地狱犬地雷
Covert Banshee	隐秘女妖
Cyclone	飓风
Death Head	死神之首
Deimos Viking	德摩斯维京战机
Devil Dogs	恶魔犬
Diamondback	响尾蛇战车
Dropship	运输船
Dusk Wings	黄昏之翼
Elite Marine	精英陆战队员
Field Response Theta	塞塔战场急救队
Firebat	火蝠
Ghost	幽灵
Goliath	歌利亚武装机器人/歌利亚
Hammer Securities	铁锤安保
Heavy Siege Tank	重型攻城坦克
Hellbat	恶蝠
Hellbat Ranger	恶蝠游骑兵
Hellion	恶火
Hel's Angels	地狱天使
HERC	赫克
Hercules	大力神
Jackson's Revenge	杰克森的复仇号
Liberator	解放者
Marauder	劫掠者
Marauder Commando	劫掠者突击手
Marine	陆战队员
Medic	医疗兵
Medivac	医疗运输机
MULE	矿骡
Night Wolves	夜狼中队
Odin	奥丁
Outback Hunter	
Point Defense Drone	定点防御靶机
Predator	掠食者
Pride of Augustgrad	奥古斯特格勒的骄傲
Prometheus Company	普罗米修斯连队
Raid Liberator	掠袭解放者
Raven	铁鸦
Raven Type-II	铁鸦II型
Reaper	收割者	
Science Vessel	科学船
Shock Division	冲击分队
Siege Breakers	突围者
Siege Tank	攻城坦克
Sky Fury	天空之怒
Sons of Korhal	克哈之子
Sovereign Battlecruiser	至尊战列巡航舰
Spartan Company	斯巴达连队
Special Ops Dropship	特别行动运输船
Spec Ops Ghost	特战幽灵
Spectre	幽魂
Spider Mine	蜘蛛雷
Strike Goliath	强击歌利亚
Tac Fighter	战术机
Theia Raven	忒伊亚铁鸦
Thor	雷神
Trooper	士兵
Valkyrie	瓦格雷战机
Valor of Vardona	瓦多纳勇气号
Viking	维京战机/维京
Vulture	秃鹫
Warhound	战狼
War Pigs	战地豪猪
Widow Mine	寡妇雷
Wraith	怨灵战机/怨灵
Adept	使徒
Annihilator	歼灭者
Arbiter	仲裁者
Archon	执政官
Ascendant	晋升者
Avenger	复仇者
Blood Hunter	鲜血猎手
Carrier	航母
Centurion	百夫长
Colossus	巨像
Conservator	保护者
Corsair	海盗船
Dark Archon	黑暗执政官
Dark Templar	黑暗圣堂武士
Destroyer	毁灭者
Disruptor	干扰者
Dragoon	龙骑士
Energizer	激励者
Havoc	浩劫
High Templar	高阶圣堂武士
Immortal	不朽者
Instigator	鼓舞者
Interceptor	拦截机
Legionnaire	军团士兵
Mirage	幻影战机
Mothership	母舰
Mothership Core	母舰核心
Observer	侦测器
Oracle	先知
Phoenix	凤凰
Probe	探机
Reaver	掠夺者
Replicant	克隆机
Scout	侦察机
Sentinel	警戒者
Sentry	机械哨兵
Shadow Guard	暗影卫队
Shuttle	穿梭机
Slayer	杀戮者
Stalker	追猎者
Supplicant	死徒
Tempest	风暴战舰
Vanguard	先锋
Void Ray	虚空辉光舰
Warp Prism	折跃棱镜
War Prism	战争棱镜
Wrathwalker	天罚行者
Zealot	狂热者
Aberration	畸变体
Baneling	爆虫
Broodling	巢虫
Brood Lord	巢虫领主
Broodmother	虫母
Brood Queen	虫巢女王
Brutalisk	莽兽
Carrion	腐肉虫
Changeling	拟态雏虫
Corpser	尸体虫
Corruptor	腐化者
Creeper	掘地虫
Creeper Host	掘地虫宿主
Defiler	蝎虫
Devourer	吞噬者
Drone	工蜂
Egg	异虫茧
Flying Locust	飞行蝗虫
Glaive Wurm	刃虫
Guardian	守护者
Hunter	猎杀虫
Hunter Killer	屠猎者
Hydralisk	刺蛇
Impaler	穿刺者
Infested Banshee	被感染的女妖
Infested Civilian	被感染的平民
Infested Diamondback	被感染的响尾蛇战车
Infested Liberator	被感染的解放者
Infested Marine	被感染的陆战队员
Infested Siege Tank	被感染的攻城坦克
Infested Terran	被感染的人类
Infested Trooper	被感染的士兵
Infestor	感染者
Larva	幼虫
Leviathan	利维坦
Locust	蝗虫
Lurker	潜伏者
Mutalisk	异龙
Noxious	瘴毒兽
Nydus Worm	坑道虫
Omegalisk	王兽
Overlord	王虫
Overseer	眼虫
Primal Guardian	原始守护者
Primal Host	原始宿主
Primal Hydralisk	原始刺蛇
Primal Igniter	原始点火虫
Primal Mutalisk	原始异龙
Primal Roach	原始蟑螂
Primal Ultralisk	原始雷兽
Primal Zergling	原始跳虫
Zergling 跳虫
Queen	虫后
Raptor	腾跃虫
Ravager	破坏者
Ravasaur	掠食龙
Roach	蟑螂
Scourge	爆蚊
Splitter	分裂虫
Swarm Host	虫群宿主
Swarmling	裂变虫
Torrasque	暴龙兽
Ultralisk	雷兽
Vile	秽型虫
Viper	飞蛇
Hybrid Behemoth	混合体巨兽
Hybrid Destroyer	混合体毁灭者
Hybrid Dominator	混合体支配者
Hybrid Nemesis	混合体天罚者
Hybrid Reaver	混合体掠夺者
Maar	玛尔
Academy	学院
Armory	军械库
Auto-Turret	自动机炮
Barracks	兵营
Blaster Billy	爆弹比利
Bunker	地堡
Command Center	指挥中心
Control Tower	控制塔
Covert Ops	特战部
Devastation Turret	毁灭炮塔
Drakken Laser Drill	德拉肯激光钻机
Engineering Bay	工程站
Factory	重工厂
Flaming Betty	热辣贝蒂
Fusion Core	聚变芯体
Hive Mind Emulator	主巢心智模拟器
Ghost Academy	幽灵军校
Machine Shop	机械车间
Merc Compound	佣兵营地
Missile Turret	导弹塔
Nuclear Silo	核弹发射井
Orbital Command	轨道控制基地
Perdition Turret	末日炮塔
Physics Lab	物理实验室
Planetary Fortress	行星要塞
Psi Disrupter	灵能干扰器
Railgun Turret	磁轨炮塔
Reactor	反应堆
Refinery	精炼厂
ComSat Station	卫星站
Science Facility	科学站
Sensor Tower	感应塔
Shrike Turret	尖牙炮塔
Starport	星港
Strike Fighter Platform	攻击战斗机平台
Supply Depot	补给站
Barracks Tech Lab	科技实验室
Barracks Reactor	反应堆
Tech Reactor	科技反应堆
Arbiter Tribunal	仲裁者法庭
Assimilator	吸纳舱
